,x_test,future
0,"[  4 112  34   4  29   4 112  96   4  29   4  96   4 172  29   4  91  96
   4  29   4 160 115   4  29   4 160 115   4  29   4  46]",[130  45 130 164 115  29 107  29]
1,"[ 13 112  13  51  49  34  11  34  31  60  34  45  34  45  29 172 149  51
 172  43 128  29 172 112 172 112 143  51  58 106   4 106]",[ 45  29  11  29  11   4  51 106]
2,"[ 64  64  64  64 140  64  64  51  64  64   4   2   2   2   2 140  51  43
  64  64  64  64 140  64  64  51  27 165  51 165  51 165]",[165 143 165 140 165 140 172 172]
3,"[ 51  43   4 109  43  91 143 145 130  39 145  43 143 145 130 167 145  43
 140 145 106  62 145  43 140   4 106  34   4 135  91   4]",[ 19   4 145  91 130 107  56 130]
4,"[102  43  19 117  16  43  19 140  50 172 113 140  50  13  21  37   5  37
  37   5  37  37   5  37 150 161 171 125 171  56 171  56]",[ 56 129  89  16 119  21 119 119]
5,"[ 98  97  98  32  34  43  32  73  62  43  34  43  32  73  62  43 107  91
  70  52  91 145  99 155  28  72 155 107  91  32  70  62]",[107  91 171 149 146  91 107 131]
6,"[ 11 106 161  11  91 145 130 161 145  43 145 106  19 145 135   4 106  19
   4  43 145  11  32 145  91 135  11  62 135 140  43  11]",[ 43 140  43  11  62  43 140  43]
7,"[135  43 109  97 146 111  34 109  34  32  62 170 171 146  56 167 170 129
  97  56 167  29  43 171 146 130  32  62 136 125 115  59]",[  8   6 167 115  96 145   8  96]
8,"[  4 108   7   4 112  41  43 117  59  43 172  12 112 143 149  51   0  12
  51  51   7   0  41  51   0   7  51 128  41 141   0 105]",[  0 105 141   0 105  38 128 116]
9,"[172 108  76  43 108  43   0 135  39  91 135  91  27  17  91  39  27  91
  27  88  84 117  39 155 117 155 141  71 145  39 143 145]",[155  85 135  39  91 135  91  27]
10,"[  6  11 107  39  11  45  98 111  45   8  11  45  98 111  45   6   4 107
   8  96 107  39   4 107 163  96 107   8  11  11  98  45]",[ 39 172  11   6  45  11  98 117]
11,"[ 56  61   8  36  56 136 171 125 118   8 116  56 118   8  53  32  53  32
 150  39 150  39 159 109 159 109 170 167 170 167 116  35]",[ 35  49 105 103  90 172 140 172]
12,"[ 11   8  17 145  39 135  17  91  98  85 117  39 135  85 145  98  85 135
  39 117  85  91   8 140  91  17 117 135  39 117 135  17]",[ 11   8  17 145  39 135  17  91]
13,"[ 13  13  27  13  91  91  13  91 135 135  91 135  11  85  95  88 102 124
  88  27  27  69  88  27  13  13  27  13  91  91  13  91]",[135  91 135  11  85  95 135 102]
