,x_tr,future
0,"[ 2 29 33 11 19  6  2 31 11 19  3  3 22 27 11 19 15 26  3 22 11 19 15 26
 29 33 11 19  6  2 11  0]",[29 33 11 19  6  2 31 11]
1,"[16 16 16  5 13 13 24 15 30 24 15 30 24 13  5 16 16 16 16 16 16  5 13 13
 24 15 30 24 15 30 24 13]",[16 16  5 13 13 24 15 30]
2,"[29 20  1 33  6 10  5 28  1 20 29 33  6 10  5 28  1 20 29 33  6 10 33 28
  1 20 29 28  1 20 29 28]",[20  1 33  6 10  5 28  1]
3,"[12 23  2  4 12  8  7 23  8 10 33 24 10 13 10 26 12 23 27  4 12  8 23  8
 23 23 23 23 23 23 30 23]",[23  2  4 12  8  7 23  8]
4,"[ 2 29 26  2  7 29 22  2 29  1  1 29 29 13 29 29  3 29  1 13 29 20 20  2
 26  2  7 22 15  2  1 28]",[29 26  2  7 29 22  2 29]
5,"[16 19 16 19  2  2  0  0 14 20 20 15  3 15  3  1  1  7  7 33  7 15  7  6
  7  2 13 29  6 20 15  6]",[19 16 19  2  2  0  0 14]
6,"[30 30 24 24 17  5 24 24  9 30 30 30 30 30  4 30  5 30 30 30 30 24 24 16
 16 16 16 16 16  5 13 13]",[30 24 24 17  5 24 24  9]
7,"[22 19 12  7 12 30 26 12 24 11  1  8 24 11  1 31 24 11  1 24 11  1  8 21
  8 27  8 31 33  8 19  7]",[19 12  7 12 30 26 12 24]
8,"[ 1 20 29 28  1 20 29 28  1 20 29  2 29 26  2  7 29 22  2 29  1  1 29 29
 13 29 29  3 29  1 13 29]",[20 29 28  1 20 29 28  1]
9,"[17 17 17  8 25  8  8  4 25 28 28 17  4 17  9 17  9  4 23  4  4  8  8  4
 12  4  9  4  8  4  9  9]",[17 17  8 25  8  8  4 25]
10,"[12 12 31 33 22 19 12  7 12 30 26 12 24 11  1  8 24 11  1 31 24 11  1 24
 11  1  8 21  8 27  8 31]",[12 31 33 22 19 12  7 12]
11,"[13 27 18 13 27 18 13 27 14 18  1 27 14 18  1 27 14 18  1 27 14 18  1 27
 18 29 27 18 29 27 18 15]",[27 18 13 27 18 13 27 14]
12,"[29  2  3 26 29  2  1  7 13 22 29  2 20  1 20  1 15 13 29  1 13  2 13  1
 29 27 31 33 22  0 27 22]",[ 2  3 26 29  2  1  7 13]
13,"[32  0 21 18 16 16 18 21 18 21 19 21 19 19 19 19 19 19 19 19 19 19 19 29
 27 11 19 24  2 29 11 19]",[ 0 21 18 16 16 18 21 18]
